Entity,Year,access_clean_perc,GDP,popn,Death_Rate_ASP
0,2000.0,-1.3718861553528283,0.0,-0.10419723090254372,371.9513445
0,2001.0,-1.3533125123864054,0.0,-0.1025647838109935,368.4902535
0,2002.0,-1.3302916591322473,-0.8776323621988167,-0.10060320233556022,355.8708514
0,2003.0,-1.3023003943800326,-0.8752382536968497,-0.09847124757398167,350.1887476
0,2004.0,-1.276925135679427,-0.8770865286111078,-0.09640695458469963,341.8581056
0,2005.0,-1.249195471532373,-0.8725862338577056,-0.09457603638242813,331.0811191
0,2006.0,-1.214664191651136,-0.8710779736349259,-0.09303882976391036,320.2875784
0,2007.0,-1.1837953202421516,-0.8635335856170486,-0.09172131319634513,306.5021038
0,2008.0,-1.1458632324938234,-0.862322173990688,-0.09049409062141983,292.5475289
0,2009.0,-1.1092391477712993,-0.8480283887106002,-0.08916662385127731,278.2761753
0,2010.0,-1.0611046364216963,-0.8377225179505549,-0.08760588690843425,265.0947492
0,2011.0,-1.0179405365701504,-0.8404518117185134,-0.08576645152224666,252.4725103
0,2012.0,-0.9721604306669953,-0.8315604375652582,-0.08370581213839422,239.7294396
0,2013.0,-0.9174859041883703,-0.8294291066020592,-0.08151835849844519,227.3272139
0,2014.0,-0.8698745940490893,-0.8301615416730598,-0.07934472776439752,216.5716077
0,2015.0,-0.8146768663601422,-0.8319362981905445,-0.07728639186921948,208.0648033
0,2016.0,-0.7534623247524952,-0.8325187820527905,-0.07537288757771299,200.6279496
1,2000.0,-0.5609242793540835,-0.632977558703791,-0.13903717339076188,63.70081896
1,2001.0,-0.48506010385742665,-0.6044348691911091,-0.13903627528678,57.58114465
1,2002.0,-0.4188751507517228,-0.5881700233648905,-0.1390432193083366,56.15543849
1,2003.0,-0.3563526061182712,-0.5673502322984056,-0.13905933780749274,55.71071423
1,2004.0,-0.28022683001645343,-0.5451990399459127,-0.13908524267926903,51.9697951
1,2005.0,-0.20907146541269264,-0.5212581798482709,-0.1391209358975204,47.43948942
1,2006.0,-0.1483801250153672,-0.4937768904653527,-0.139167891931861,41.52145862
1,2007.0,-0.08114876948901967,-0.46353790107726134,-0.13922518899205014,36.12850971
1,2008.0,-0.012871011542028596,-0.42389781277653915,-0.139286990389133,33.03456796
1,2009.0,0.05226753914303192,-0.40302078331944474,-0.13934549347466924,29.49455349
1,2010.0,0.10432605957004816,-0.38036415392677353,-0.13939486945512367,27.00723604
1,2011.0,0.17181901570155655,-0.3645872048117652,-0.13943321750822255,25.55047755
1,2012.0,0.22806314581114667,-0.35547359573134635,-0.1394618581428975,24.11283307
1,2013.0,0.275674455950428,-0.34853975574834767,-0.13948219476998613,22.96266251
1,2014.0,0.33322658908582287,-0.3368062492730976,-0.1394969611785322,22.10134731
1,2015.0,0.36958907320318596,-0.3216367919790901,-0.13950837598144916,21.2667667
1,2016.0,0.4232171972611674,-0.3001336796782166,-0.1395164628649959,20.19794403
2,2000.0,0.6599657449317686,-0.4864287421309439,-0.0839409772118038,6.217256114
2,2001.0,0.691619418156236,-0.47890888523088115,-0.08313312774546414,5.274853363
2,2002.0,0.7227498901703813,-0.4592772424341947,-0.0823364858272764,4.449428544
2,2003.0,0.7366147222439082,-0.4312266289482419,-0.08152908245214532,3.732100357
