RegionID,SizeRank,RegionName,RegionType,StateName,1/31/15,2/28/15,3/31/15,4/30/15,5/31/15,6/30/15,7/31/15,8/31/15,9/30/15,10/31/15,11/30/15,12/31/15,1/31/16,2/29/16,3/31/16,4/30/16,5/31/16,6/30/16,7/31/16,8/31/16,9/30/16,10/31/16,11/30/16,12/31/16,1/31/17,2/28/17,3/31/17,4/30/17,5/31/17,6/30/17,7/31/17,8/31/17,9/30/17,10/31/17,11/30/17,12/31/17,1/31/18,2/28/18,3/31/18,4/30/18,5/31/18,6/30/18,7/31/18,8/31/18,9/30/18,10/31/18,11/30/18,12/31/18,1/31/19,2/28/19,3/31/19,4/30/19,5/31/19,6/30/19,7/31/19,8/31/19,9/30/19,10/31/19,11/30/19,12/31/19,1/31/20,2/29/20,3/31/20,4/30/20,5/31/20,6/30/20,7/31/20,8/31/20,9/30/20,10/31/20,11/30/20,12/31/20,1/31/21,2/28/21,3/31/21,4/30/21,5/31/21,6/30/21,7/31/21,8/31/21,9/30/21,10/31/21,11/30/21,12/31/21,1/31/22,2/28/22,3/31/22,4/30/22,5/31/22,6/30/22,7/31/22,8/31/22,9/30/22,10/31/22,11/30/22,12/31/22,1/31/23,2/28/23,3/31/23,4/30/23,5/31/23,6/30/23,7/31/23,8/31/23,9/30/23,10/31/23,11/30/23
102001,0,United States,country,,1266.059583,1272.74807,1281.390109,1291.808026,1301.544232,1310.580235,1316.759174,1320.323183,1321.129442,1321.09211,1321.398567,1323.067241,1326.984595,1332.803286,1339.664017,1350.14721,1360.316896,1369.405056,1372.047593,1372.410027,1370.699146,1368.37708,1366.263604,1365.046645,1371.934965,1382.122096,1395.973457,1406.550375,1416.475379,1424.331471,1429.080128,1430.825538,1432.109148,1431.841032,1433.076066,1434.382672,1439.851179,1447.692781,1459.005355,1470.08626,1479.681168,1487.147325,1491.892088,1494.477434,1495.030454,1495.801676,1497.992224,1501.391886,1506.597629,1514.387707,1525.492133,1537.100908,1547.355769,1555.052084,1559.787555,1562.41765,1563.583747,1564.691621,1566.179105,1568.089897,1573.746272,1582.566903,1592.421751,1597.679524,1603.74018,1611.903909,1625.442215,1637.701605,1649.137181,1658.410979,1667.271152,1675.16152,1686.173596,1699.641978,1717.790347,1739.659514,1764.125389,1789.458133,1812.037121,1835.028545,1853.883601,1868.731487,1880.204607,1892.657227,1907.963885,1927.105794,1948.208544,1971.004403,1991.668909,2011.252925,2027.340235,2039.892862,2045.977429,2050.031488,2049.870269,2055.176514,2061.051568,2072.346516,2084.944938,2100.570959,2113.158286,2123.032953,2132.040398,2141.677753,2147.835795,2148.939168,2147.563754
394913,1,"New York, NY",msa,NY,2233.133615,2255.03518,2272.077073,2291.645864,2297.479956,2313.074779,2318.113404,2319.678159,2314.874061,2309.601513,2313.514314,2321.961236,2337.142086,2348.290359,2359.526661,2376.032631,2392.226629,2398.238444,2399.762247,2392.162563,2387.008689,2389.54492,2400.203178,2399.198894,2412.638667,2425.579013,2447.185194,2456.02071,2465.918982,2476.42613,2483.725651,2477.242843,2507.041545,2513.560561,2514.131809,2488.8438,2486.747179,2501.567361,2510.556969,2526.017948,2538.079953,2553.50324,2558.787561,2569.32485,2570.695239,2565.243947,2561.557847,2560.164585,2567.303724,2587.907133,2611.932559,2632.655231,2641.747052,2653.746141,2655.168176,2647.631698,2629.218166,2642.093624,2650.218652,2673.930862,2676.645732,2688.760572,2704.956758,2719.900824,2740.838576,2747.991529,2761.585161,2765.774581,2776.11913,2759.373899,2786.103348,2791.959852,2838.539345,2859.882623,2911.846103,2950.843377,2967.217598,2985.080559,2995.67943,3017.660839,3010.494588,3017.489184,3011.864571,3048.896747,3091.837337,3164.820448,3203.499656,3244.175101,3249.676236,3269.483912,3293.559563,3319.275024,3324.460417,3304.84413,3289.85942,3288.98909,3292.106793,3336.96184,3402.179034,3470.94945,3492.930681,3502.786897,3503.65074,3509.480232,3493.537322,3460.942251,3445.696877
753899,2,"Los Angeles, CA",msa,CA,2571.296547,2586.050819,2604.348963,2616.104497,2637.303435,2656.231007,2678.505096,2690.592037,2699.644801,2702.073109,2698.744974,2704.691291,2719.511598,2740.58879,2761.887137,2774.834353,2797.779239,2813.624334,2825.749034,2828.403702,2828.482111,2825.234694,2819.114811,2812.845058,2837.918265,2861.599339,2898.104294,2917.699086,2943.914762,2956.690028,2965.681199,2966.656619,2972.252027,2971.615156,2979.660674,2978.736914,2992.751058,3006.856416,3033.77385,3055.555265,3073.734619,3085.59783,3095.731689,3096.797306,3101.234214,3105.255445,3122.230379,3129.648494,3143.882373,3145.826703,3172.209614,3183.470457,3212.513561,3218.660191,3229.09611,3223.7475,3224.766473,3225.68477,3233.411591,3242.404615,3257.849955,3269.667338,3273.600443,3260.932276,3261.673875,3272.69488,3305.084949,3319.11404,3337.32594,3350.328466,3374.271945,3388.036987,3406.563994,3427.291606,3460.982412,3490.795559,3520.750828,3557.068767,3586.629553,3631.265944,3669.860457,3704.31771,3735.875618,3762.061731,3801.4791,3839.057919,3883.979574,3926.903706,3969.536737,4006.28699,4032.692127,4039.49281,4039.162703,4047.31932,4058.997529,4058.650739,4060.906164,4073.810818,4100.234089,4134.999768,4148.832674,4182.522537,4202.37693,4230.003153,4224.038689,4213.46546,4209.636932
394463,3,"Chicago, IL",msa,IL,1504.096116,1510.879827,1522.416987,1534.343702,1547.516576,1555.546501,1559.292484,1557.636353,1552.024536,1545.123302,1543.755179,1547.639991,1551.949621,1558.751168,1570.11243,1581.018247,1589.941924,1594.033262,1597.747134,1605.274422,1601.746594,1595.157138,1578.325599,1566.727326,1573.462138,1585.807228,1606.66055,1619.18971,1632.660695,1638.695296,1641.210307,1637.888091,1634.833716,1624.856764,1619.424954,1616.438638,1622.631548,1631.954336,1645.221093,1659.13216,1667.668331,1673.391045,1675.719752,1676.596134,1675.539714,1670.358469,1667.230885,1662.549442,1668.571427,1673.520787,1688.022551,1697.617379,1709.350819,1716.551136,1720.837411,1722.31115,1721.963829,1719.377511,1716.638485,1712.094303,1715.204045,1722.947088,1735.920773,1741.498706,1746.264126,1751.703841,1760.751621,1769.244841,1766.87227,1763.638335,1761.860457,1769.360083,1785.153594,1801.259541,1812.979871,1829.03223,1846.058274,1873.314788,1891.199412,1906.288422,1919.153549,1928.19493,1935.90422,1945.823403,1954.144614,1964.809422,1982.232328,2007.041532,2034.777867,2052.788334,2070.878505,2085.363913,2087.506202,2090.219295,2080.356861,2091.095434,2095.899407,2112.639599,2123.617285,2145.692631,2163.843271,2183.541315,2196.506806,2213.427631,2225.237153,2225.798038,2221.960828
394514,4,"Dallas, TX",msa,TX,1363.557414,1371.136919,1381.114797,1394.643185,1408.02584,1418.864772,1428.168542,1431.491194,1431.62916,1431.261007,1432.894129,1435.994901,1438.610621,1445.572227,1456.125541,1469.503085,1479.992015,1488.766419,1493.429834,1496.287474,1495.025153,1492.653975,1490.928624,1491.286012,1499.756893,1509.82148,1524.091575,1536.107886,1549.447697,1557.184846,1561.9315,1563.876455,1563.443978,1563.57526,1562.949469,1567.07709,1571.593712,1580.209784,1587.342629,1598.934836,1606.056996,1616.774747,1618.643184,1621.691903,1622.063061,1622.928539,1621.593624,1622.082246,1627.425352,1635.966729,1646.026042,1657.752493,1669.279463,1676.007818,1678.137095,1679.430374,1679.572664,1681.933583,1681.16555,1681.574791,1684.490012,1692.80987,1702.856364,1707.013024,1712.524362,1720.720198,1732.669081,1742.921711,1752.028024,1763.821147,1772.739268,1783.454183,1795.908568,1810.134966,1828.232009,1848.749849,1879.563114,1908.885856,1939.066681,1965.305548,1990.482785,2012.708607,2023.34386,2032.798749,2041.776301,2060.39713,2081.599111,2107.370082,2136.377471,2163.473171,2180.795637,2191.65605,2197.760532,2204.779361,2206.907524,2211.799576,2215.065291,2222.442779,2229.474165,2239.462332,2253.004851,2267.408242,2280.056798,2285.063932,2284.569053,2274.785931,2277.403767
394692,5,"Houston, TX",msa,TX,1483.082183,1490.250328,1498.69016,1512.463072,1523.170909,1534.240297,1536.606881,1536.25704,1529.266108,1524.619261,1521.66817,1519.767109,1521.463787,1520.809492,1524.017543,1526.716008,1532.271762,1535.799454,1534.682879,1528.72034,1519.191056,1506.35113,1492.138158,1483.943669,1493.793961,1510.67159,1528.912906,1537.063766,1545.796904,1550.258553,1551.34842,1549.765012,1556.212696,1563.692473,1570.553374,1569.725272,1573.48366,1577.417669,1583.843539,1587.792856,1594.353549,1601.724854,1602.261386,1601.596566,1598.468008,1596.725566,1593.82075,1593.174363,1595.892131,1602.333747,1610.846439,1621.239071,1630.188419,1636.673124,1637.710688,1635.875154,1634.643627,1635.157737,1635.851449,1635.467794,1640.113717,1645.887835,1653.062536,1652.598291,1656.169393,1659.596176,1670.778011,1680.126357,1689.743176,1696.590681,1702.539911,1711.126508,1722.062782,1733.050752,1746.775838,1762.335256,1783.342651,1803.624992,1816.237319,1831.072325,1842.272873,1861.371044,1869.004754,1879.132848,1885.378132,1902.535687,1911.517869,1927.237068,1940.959846,1964.775439,1979.071611,1989.54851,1989.695455,1996.643541,1988.04265,1990.459477,1986.055528,2002.372841,2012.34671,2025.371938,2036.411958,2048.515003,2063.871929,2070.16133,2072.322597,2066.484743,2059.53077
395209,6,"Washington, DC",msa,VA,2039.705391,2055.202759,2074.028626,2084.685693,2091.504425,2101.006115,2105.377395,2102.428521,2098.386261,2091.865868,2090.241437,2085.743685,2090.872321,2099.767406,2111.00273,2119.730049,2131.733661,2142.289815,2150.783426,2149.851144,2140.656631,2127.497159,2117.572876,2112.433637,2120.562878,2137.210521,2160.471036,2175.55121,2184.275097,2189.96471,2194.28644,2190.630328,2188.399776,2178.254136,2175.203424,2176.214939,2185.272491,2194.80393,2207.357888,2223.255019,2234.910353,2241.620197,2245.35505,2246.758057,2241.486144,2233.425514,2234.712407,2237.969652,2244.232687,2253.49184,2269.548326,2285.773373,2296.629513,2304.411399,2308.509508,2311.054902,2311.226349,2304.707163,2300.862191,2292.654374,2307.272945,2317.717071,2337.258633,2343.68278,2352.578457,2359.268795,2366.190115,2375.101289,2382.091275,2379.779851,2378.683021,2374.737606,2385.943278,2393.128201,2412.538557,2434.52142,2462.019837,2486.980546,2505.827471,2525.986891,2538.277125,2551.718126,2551.67806,2554.728616,2559.329296,2582.874442,2612.741708,2648.955282,2671.365821,2689.978371,2701.983069,2713.204331,2722.001552,2724.185939,2729.747847,2736.069684,2736.70562,2743.782375,2754.74529,2777.401796,2800.312965,2827.022139,2851.240808,2868.768998,2872.631797,2874.557722,2880.797205
394974,7,"Philadelphia, PA",msa,PA,1334.883093,1342.565444,1353.184644,1361.629094,1367.985257,1371.002999,1373.582715,1374.352003,1375.842929,1376.735113,1370.501355,1367.136759,1366.61603,1377.731695,1388.2874,1399.809738,1405.418544,1412.749717,1415.431562,1416.070691,1410.63803,1403.409665,1406.405262,1405.697511,1415.224356,1420.250656,1435.856788,1443.783273,1449.301846,1449.802169,1451.773696,1455.034116,1458.519152,1459.898712,1460.307467,1462.122348,1463.256594,1469.869877,1481.267584,1494.240785,1504.159791,1507.081741,1505.636167,1503.253268,1505.283605,1510.842742,1513.983647,1514.371086,1517.210818,1524.918645,1534.610584,1545.284629,1553.381548,1560.800746,1563.444415,1564.365489,1564.688759,1569.189309,1572.079331,1577.383246,1580.229619,1588.54996,1594.289752,1596.812205,1599.983399,1607.035108,1620.01086,1628.31737,1638.458207,1643.927496,1654.578305,1662.497747,1673.242294,1682.45963,1690.493863,1705.573764,1722.94218,1739.297233,1751.751256,1765.566231,1779.424263,1792.481611,1805.099624,1818.326404,1830.664639,1838.830357,1850.460976,1863.863344,1880.458897,1897.394644,1915.080643,1930.431507,1940.721179,1941.324307,1946.621216,1944.484581,1950.107274,1958.198874,1969.653611,1983.560612,1989.737388,2001.062927,2010.462024,2019.628699,2035.022776,2051.540614,2062.962197
394856,8,"Miami, FL",msa,FL,1744.03957,1751.365826,1761.79823,1771.974949,1782.124921,1791.789954,1804.460587,1812.410855,1824.385824,1831.883798,1842.922888,1847.715814,1855.767893,1857.224181,1861.503799,1864.95434,1873.955984,1878.208901,1881.043551,1885.743778,1891.729676,1895.903189,1901.288134,1902.42151,1906.688051,1911.769851,1921.55557,1927.354695,1931.586541,1939.779452,1950.533841,1959.547473,1963.799399,1970.165749,1973.811686,1978.867133,1982.081994,1988.58566,1996.289708,2006.175184,2012.656348,2016.81186,2024.193712,2032.800471,2041.281151,2048.610414,2054.377074,2057.779191,2057.433574,2064.104966,2073.903403,2082.378986,2086.401848,2092.50723,2099.916952,2107.561324,2116.891373,2130.026043,2142.823752,2148.909008,2145.761044,2153.490072,2155.979018,2159.666097,2155.659621,2172.894333,2196.448012,2215.989709,2237.268557,2273.081049,2312.53635,2337.773692,2339.680178,2350.939598,2364.219911,2398.386548,2453.336579,2517.429369,2583.337787,2637.622342,2709.873745,2759.736909,2825.714978,2879.20112,2951.835263,2987.782589,3036.212111,3087.800379,3159.70687,3208.619844,3246.41502,3267.837335,3269.703835,3277.522499,3293.031599,3300.381088,3291.069879,3271.823532,3275.822415,3303.570786,3330.702526,3363.220866,3375.333035,3393.162115,3410.442051,3429.562558,3440.672899
394347,9,"Atlanta, GA",msa,GA,1091.587392,1098.016195,1101.711198,1112.651699,1120.498795,1131.920748,1138.336999,1142.375174,1143.270074,1142.438597,1141.037436,1143.589644,1149.526384,1159.587023,1168.312175,1178.038649,1187.083341,1196.357766,1202.932613,1207.79038,1208.652473,1208.702766,1208.036986,1210.048268,1213.595845,1222.689307,1234.374535,1247.712573,1259.422969,1269.066484,1278.447752,1281.866878,1284.31109,1282.675291,1286.839447,1288.899156,1295.165076,1301.346886,1313.91117,1326.148543,1338.58378,1346.366696,1350.83265,1352.246555,1354.698636,1360.487911,1366.564183,1371.243817,1376.048094,1383.732961,1396.427076,1409.88899,1420.928121,1431.191389,1435.418643,1438.632108,1441.081011,1444.408799,1448.380471,1451.047061,1456.097987,1465.807874,1477.034976,1488.974255,1500.292887,1512.400003,1527.018885,1543.401969,1560.252254,1574.881144,1586.941201,1598.7134,1613.825767,1635.776247,1660.00664,1690.568267,1716.72715,1749.390888,1774.798477,1808.713773,1831.900896,1857.223031,1869.040514,1879.287127,1886.580216,1896.856146,1914.232769,1928.620053,1947.909518,1970.492364,1999.652576,2020.596143,2032.191085,2036.885744,2036.178296,2049.535047,2054.765124,2064.738233,2066.161149,2076.036659,2083.434419,2085.724632,2089.574564,2096.706072,2100.320764,2093.741056,2085.177102
